Invoice Number	Invoice Date	Country of Origin	HS Code	Mat. NO.		Description	Default	Quantity	Weight per PC (kg)	Unit Price (per batch)	Price per PC	Total Price	Currency
59638682	30.01.2026	CZ	940120	57H881041JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	227.58	1 /PC	682.74	EUR
59638682	30.01.2026	CZ	940120	57H881042JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	256.08	1 /PC	768.24	EUR
59638682	30.01.2026	UA	940199	57H885031CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	86.29	1 /PC	258.87	EUR
59638682	30.01.2026	UA	940199	57H885032CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	78.51	1 /PC	235.53	EUR
59638682	30.01.2026	PL	940199	57H885041CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	330.44	1 /PC	991.32	EUR
59638682	30.01.2026	PL	940199	57H885042CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	252.37	1 /PC	757.11	EUR
59638682	30.01.2026	PL	940199	57H888014XOF	94012000	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3	305.62	1 /PC	916.86	EUR
59638682	30.01.2026	CZ	851220	57H941035A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638682	30.01.2026	CZ	851220	57H941036A	#N/A	LED headlight	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.604	164.65	1 /PC	493.95	EUR
59638682	30.01.2026	CZ	854430	57H971051138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	586.56	1 /PC	"1,759.68"	EUR
59638682	30.01.2026	CZ	854430	57H971058138	#N/A	Central wiring harness	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5	252.17	1 /PC	756.51	EUR
59638682	30.01.2026	CZ	854430	57J857007BXCC	#N/A	Dashboard with air duct	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	7.77	82.26	1 /PC	246.78	EUR
59638682	30.01.2026	CZ	870829	57J857017	87082900	Cross member for dashbord	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	5.13	33.13	1 /PC	99.39	EUR
