Invoice Number,Invoice Date,Part No.,Description,Country Code,HS Code,Default,Quantity,Unit,Net Weight,Price/100,Total Price,Currency,Source
51190699,16-02-2026,57L867018,SIDE PANEL TRIM,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,0.948,"4,995.00",49.95,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L857089,REAR MIRROR LEFT,SK,700910,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,1.100,"10,802.00",108.02,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L857090,REAR MIRROR RIGHT,SK,700910,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,1.121,"13,445.00",134.45,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L807052,REAR BUMPER,DE,870810,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,9.003,"15,632.00",156.32,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L807063,"BUMPER,FRONT",DE,870810,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,9.003,"37,676.00",376.76,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L885003,REAR SEAT W. BACK 3rd ROW,PL,940120,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,32.603,"38,203.00",382.03,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L881003,FRONT SEAT W. BACKREST,DE,940120,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,25.003,"53,570.00",535.70,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L881004,FRONT SEAT W. BACKREST,DE,940120,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,25.003,"56,623.00",566.23,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L885001,REAR SEAT WITH BACKREST,DE,940120,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,50.003,"46,886.00",468.86,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L885002,REAR SEAT WITH BACKREST,DE,940120,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,20.003,"30,502.00",305.02,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L867017,SIDE PANEL TRIM,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,0.943,"5,149.00",51.49,EUR,VOLKSWAGEN AG
